iin_start,country,bank_name,bank_url,bank_city
374188,BE,AMERICAN EXPRESS,www.americanexpress.com,
374322,US,BANK OF AMERICA,www.americanexpress.com,
374350,US,CITIBANK,www.americanexpress.com,
374355,US,USAA,www.americanexpress.com,
374391,US,AMERICAN EXPRESS,www.americanexpress.com,
374424,TR,GARANTI,www.americanexpress.com,
374614,GB,AMERICAN EXPRESS,www.americanexpress.com,
374629,US,AMERICAN EXPRESS,www.americanexpress.com,
374632,US,BANK OF AMERICA,www.americanexpress.com,
374716,US,FIDELITY,www.americanexpress.com,
374720,US,BANK OF AMERICA,www.americanexpress.com,
375001,DE,AMERICAN EXPRESS,www.americanexpress.com,
375080,DE,AMERICAN EXPRESS,www.americanexpress.com,
375081,DE,AMERICAN EXPRESS,www.americanexpress.com,
375135,BR,BRADESCO,www.americanexpress.com,
375138,BR,BRADESCO,www.americanexpress.com,
375415,AU,COMMONWEALTH,www.americanexpress.com,
375417,NO,AMERICAN EXPRESS,www.americanexpress.com,
375699,ES,BANCO SABADELL,www.americanexpress.com,
376013,GB,AMERICAN EXPRESS,www.americanexpress.com,
376014,GB,AMERICAN EXPRESS,www.americanexpress.com,
376064,AU,AMERICAN EXPRESS,www.americanexpress.com,
376066,AU,AMERICAN EXPRESS,www.americanexpress.com,
376073,AU,AMERICAN EXPRESS,www.americanexpress.com,
376212,SG,AMERICAN EXPRESS,www.americanexpress.com,
376402,AR,,www.americanexpress.com,
376418,AR,AMERICAN EXPRESS,www.americanexpress.com,
376437,BR,AMERICANEXPRESS,www.americanexpress.com,
376439,BR,BRADESCO,www.americanexpress.com,
376442,BR,BRADESCO,www.americanexpress.com,
376444,BR,AMERICAN EXPRESS,www.americanexpress.com,
376446,BR,BRADESCO,www.americanexpress.com,
376449,BR,BRADESCO,www.americanexpress.com,
376451,AR,AMERICAN EXPRESS,www.americanexpress.com,
376458,AR,AMERICAN EXPRESS,www.americanexpress.com,
376464,BR,BANCO BANKPAR S.A.,www.americanexpress.com,
376466,BR,BRADESCO,www.americanexpress.com,
376469,GB,AMERICAN EXPRESS,www.americanexpress.com,
376473,BR,AMERICAN EXPRESS,www.americanexpress.com,
376475,BR,AMERICAN EXPRESS,www.americanexpress.com,
376489,BR,BRADESCO,www.americanexpress.com,
376493,BR,BANCO DO BRASIL,www.americanexpress.com,
376522,BR,AMERICAN EXPRESS,www.americanexpress.com,
376523,BR,BRADESCO,www.americanexpress.com,
376525,BR,AMERICAN EXPRESS,www.americanexpress.com,
376528,BR,AMERICAN EXPRESS,www.americanexpress.com,
376601,BR,BRADESCO,www.americanexpress.com,
376618,BR,HSBC,www.americanexpress.com,
376623,BR,BRADESCO,www.americanexpress.com,
376627,BR,AMERICAN EXPRESS,www.americanexpress.com,
376628,BR,BRADESCO,www.americanexpress.com,
376629,BR,AMERICAN EXPRESS,www.americanexpress.com,
376650,EC,BANCO DE GUAYAQUIL,www.americanexpress.com,
376653,EC,BANCO DE GUAYAQUIL,www.americanexpress.com,
376654,EC,BANCO DE GUAYAQUIL,www.americanexpress.com,
376659,EC,BANCO DE GUAYAQUIL,www.americanexpress.com,
376660,MX,AMERICAN EXPRESS,www.americanexpress.com,
376662,MX,AMERICAN EXPRESS,www.americanexpress.com,
376669,MX,AMERICAN EXPRESS,www.americanexpress.com,
376689,MX,AMERICAN EXPRESS,www.americanexpress.com,
376706,MX,AMERICAN EXPRESS,www.americanexpress.com,
376718,MX,AMERICAN EXPRESS,www.americanexpress.com,
376727,MX,AMERICAN EXPRESS,www.americanexpress.com,
376728,MX,AMERICAN EXPRESS,www.americanexpress.com,
376730,US,AMERICAN EXPRESS,www.americanexpress.com,
376731,US,AMERICAN EXPRESS,www.americanexpress.com,
376740,US,AMERICAN EXPRESS,www.americanexpress.com,
376746,US,AMERICAN EXPRESS,www.americanexpress.com,
376750,US,AMERICAN EXPRESS,www.americanexpress.com,
376762,US,AMERICAN EXPRESS,www.americanexpress.com,
376767,US,AMERICAN EXPRESS,www.americanexpress.com,
376770,US,AMERICAN EXPRESS,www.americanexpress.com,
376772,US,AMERICAN EXPRESS,www.americanexpress.com,
376781,US,AMERICAN EXPRESS,www.americanexpress.com,
376790,US,AMERICAN EXPRESS,www.americanexpress.com,
376792,US,AMERICAN EXPRESS,www.americanexpress.com,
376916,IN,AMERICAN EXPRESS,www.americanexpress.com,
376945,IN,AMERICAN EXPRESS,www.americanexpress.com,
377038,VE,CORP BANCA,www.americanexpress.com,
377064,GB,LLOYDS,www.americanexpress.com,
377130,GB,MBNA,www.americanexpress.com,
377132,GB,MBNA,www.americanexpress.com,
377169,BR,BRADESCO,www.americanexpress.com,
377212,US,AMERICAN EXPRESS,www.americanexpress.com,
377214,US,AMERICAN EXPRESS,www.americanexpress.com,
377229,US,AMERICAN EXPRESS,www.americanexpress.com,
377231,US,AMERICAN EXPRESS,www.americanexpress.com,
377232,US,AMERICAN EXPRESS,www.americanexpress.com,
377234,US,AMERICAN EXPRESS,www.americanexpress.com,
377239,US,AMERICAN EXPRESS,www.americanexpress.com,
377240,US,AMERICAN EXPRESS,www.americanexpress.com,
377257,US,AMERICAN EXPRESS,www.americanexpress.com,
377262,US,AMERICAN EXPRESS,www.americanexpress.com,
377264,US,AMERICAN EXPRESS,www.americanexpress.com,
377266,US,AMERICAN EXPRESS,www.americanexpress.com,
377267,US,AMERICAN EXPRESS,www.americanexpress.com,
377269,US,AMERICAN EXPRESS,www.americanexpress.com,
377289,US,AMERICAN EXPRESS,www.americanexpress.com,
377292,US,AMERICAN EXPRESS,www.americanexpress.com,
377293,US,AMERICAN EXPRESS,www.americanexpress.com,
377295,US,AMERICAN EXPRESS,www.americanexpress.com,
377297,US,AMERICAN EXPRESS,www.americanexpress.com,
377299,US,AMERICAN EXPRESS,www.americanexpress.com,
377675,SE,AMERICAN EXPRESS,www.americanexpress.com,
377747,AU,DAVID JONES,www.americanexpress.com,
377783,JP,SAISON CARD,www.americanexpress.com,
377790,AR,SANTANDER RIO,www.americanexpress.com,
377791,AR,SANTANDER RIO,www.americanexpress.com,
377792,AR,SANTANDER RIO,www.americanexpress.com,
377847,CO,BANCOLOMBIA,www.americanexpress.com,
377852,AU,WESTPAC,www.americanexpress.com,
378201,US,AMERICAN EXPRESS,www.americanexpress.com,
378260,US,AMERICAN EXPRESS,www.americanexpress.com,
378264,US,AMERICAN EXPRESS,www.americanexpress.com,
378266,US,AMAX,www.americanexpress.com,
378296,US,AMERICAN EXPRESS,www.americanexpress.com,
378312,US,AMERICAN EXPRESS,www.americanexpress.com,
378340,US,AMERICAN EXPRESS,www.americanexpress.com,
378360,US,AMERICAN EXPRESS,www.americanexpress.com,
378363,US,AMERICAN EXPRESS,www.americanexpress.com,
378727,US,AMERICAN EXPRESS,www.americanexpress.com,
378750,US,AMERICAN EXPRESS,www.americanexpress.com,
379183,KR,SAMSUNGCARD,www.americanexpress.com,
379362,US,AMERICAN EXPRESS,www.americanexpress.com,
379443,US,AMERICAN EXPRESS,www.americanexpress.com,
379470,US,AMERICAN EXPRESS,www.americanexpress.com,
379483,US,AMERICANEXPRESS,www.americanexpress.com,
379486,US,AMERICAN EXPRESS,www.americanexpress.com,
379607,US,AMERICAN EXPRESS,www.americanexpress.com,
379611,US,AMERICAN EXPRESS,www.americanexpress.com,
379616,US,AMERICAN EXPRESS,www.americanexpress.com,
379617,US,AMERICAN EXPRESS,www.americanexpress.com,
379626,US,AMERICAN EXPRESS,www.americanexpress.com,
379643,US,AMERICAN EXPRESS,www.americanexpress.com,
379651,US,AMERICAN EXPRESS,www.americanexpress.com,
379715,US,AMERICAN EXPRESS,www.americanexpress.com,
379728,US,AMERICAN EXPRESS,www.americanexpress.com,
379734,US,AMERICAN EXPRESS,www.americanexpress.com,
379744,US,AMERICAN EXPRESS,www.americanexpress.com,
400022,US,NAVY FEDERAL CREDIT UNION,,
400163,BR,BANCO DO BRASIL,,
400177,US,ELGA CREDIT UNION,,
400178,BR,BANCO DO BRASIL,,
400185,BR,BANCO DO BRASIL S.A.,,
400217,BR,CREDICARD,,
400218,US,BEACON CREDIT UNION,,
400247,BR,ITAU,,
400248,BR,CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO,,
400252,BR,CREDICARD,,
400344,US,CAPITAL ONE,,
400388,US,TEXAS BANK & TRUST,,
400390,US,"BANK OF AMERICA, N.A. (USA)",,
400544,US,PAYCARD,,
400548,US,USBANK,,
400614,US,USBANK,,
400652,BR,ITAU,,
400770,BR,CAIXA ECONOMICA FEDERAL,,
400819,MX,BANCOPPEL,,
400970,BR,CAIXA ECONOMICA FEDERAL,,
400998,US,FINANCIAL HEALTH FEDERAL CREDIT UNION,,
401105,US,PENTAGON FEDERAL CREDIT UNION,,
401108,US,FIRST TECH FEDERAL CREDIT UNION,,
401154,US,VYSTAR CREDIT UNION,,
401171,US,DELTA COMMUNITY CREDIT UNION,,
401174,US,WHITNEY,,
401178,BR,BANCO DO BRASIL,,
401197,US,TALBOT,,
401350,US,Metropolitan Commercial Bank,www.metropolitanbankny.com,New York City
401370,BR,CAIXA ECONOMICA FEDERAL,,
401378,US,CONNEX CREDIT UNION,,
401398,US,USBANK,,
401538,US,NIHFCU,,
401684,BR,SAFRA,,
401719,US,CHELSEA GROTON SAVINGS BANK,,
401723,US,GROW FINANCIAL FEDERAL CREDIT UNION,,
401777,US,TD BANKNORTH,,
401795,AU,,,
401804,US,CITI,,
401901,US,BANK OF AMERICA N.A.,,
401940,US,,,
401982,US,LA CAPITAL,,
402017,US,ACNB,,
402020,US,SECU,,
402029,MX,INBURSA,,
402047,US,LGFCU,,
402049,US,JOHNS HOPKINS FEDERAL CREDIT UNION,,
402066,US,COASTAL FEDERAL CREDIT UNION,,
402140,US,FIRST NATIONAL BANK OF MIFFLINTOWN,,
402173,US,ALAMOSA STATE,,
402203,US,NORTHWEST,,
402278,TR,FINANSBANK,,
402310,TW,CATHAY UNITED,,
402318,MX,,,
402360,IT,POSTE ITALIANE S.P.A. (BANCA POSTA),,
402367,KR,HANA,,
402396,GB,VANQUIS,,
402400,US,BANK OF AMERICA,,
402411,US,BANK OF AMERICA N.A.,,
402464,US,BANK OF THE OZARKS,,
402506,MY,MBF CARDS,,
402582,PK,BANK ALFALAH LIMITED,,
402590,TR,KUVEYT TURK,,
402650,US,HALLIBURTON,,
402707,US,,,
402766,MX,BANCO AZTECA,,
402814,MY,HONG LEONG,,
402826,US,,,
402918,AR,GALICIA,,
402944,US,TD BANKNORTH,,
402988,MY,RHBBANK,,
403003,IT,FINECO,,
403116,US,CHASE,,
403121,US,BANK INDEPENDENT,,
403142,US,UNIVERSITY CREDIT UNION,,
403149,MY,,,
403160,US,DADE COUNTY FEDERAL CREDIT UNION,,
403164,US,CITZENS  COMMUNITY FEDERAL,,
403213,US,CHASE,,
403216,US,NAVY FEDERAL CREDIT UNION,,
403217,BR,CREDICARD,,
403225,BR,CITIBANK,,
403240,US,FREEDOM CREDIT UNION,,
403247,BR,ITAU,,
403254,BR,CREDICARD,,
403265,MY,STANDARD CHARTERED,,
403283,US,SERVICES CREDIT UNION,,
403284,US,FISCAL CREDIT UNION,,
403357,HN,BANCO CONTINENTAL,,
403461,US,NB&T,,
403486,US,PNC BANK N.A.,,
403490,US,PNC BANK N.A.,,
403493,US,PNC BANK N.A.,,
403495,US,PNCBANK,,
403497,US,PNC BANK N.A.,,
403541,PT,BANCO ESPIRITO SANTO E COMERCIAL DE LISBOA,,
403623,US,BB&T,,
403647,US,BANK OF AMERICA,,
403655,US,VANTAGE SOUTH,,
403690,US,CHASE,,
403710,US,ROBINS FEDERAL CREDIT UNION,,
403766,US,U.S. BANK N.A.,,
403769,US,USBANK,,
403784,US,USBANK,,
403808,US,DOW CHEMICAL EMPLOYEES' CREDIT UNION,,
403995,US,METABANK,,
404206,US,METROPOLITAN NATIONAL,,
404215,GH,GUARANTY TRUST,,
404280,CO,BBVA,,
404308,TR,GARANTI,,
404360,MX,INBURSA,,
404389,US,,,
404507,US,DUPACO,,
404594,US,METRO CREDIT UNION,,
404601,US,BB&T,,
404658,US,CITI,,
404673,US,FIRST NATIONAL BANK OF OMAHA,,
404688,US,SUNSET SCIENCE PARK FEDERAL CREDIT UNION,,
404834,IN,FEDERAL,,
405071,AR,SANTANDER RIO,,
405221,AU,COMMONWEALTH BANK OF AUSTRALIA,,
405306,MX,BANAMEX,,
405345,US,INVESTORS SAVINGS BANK,,
405385,US,MOUNTAIN AMERICA CREDIT UNION,,
405425,US,INSIGHT FINANCIAL,,
